name,team,battingStyle,bowlingStyle,playingRole,description,warning,warning_code,error
Mohammad Rizwan†,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. ",,,
Babar Azam(c),Pakistan,Right hand Bat,Right arm Offbreak,Batter,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time.",,,
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff",,,
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,,,,
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered.",,,
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Easily the finest player Bangladesh have produced, Shakib Al Hasan is a canny, consistent and accurate bowler and an aggressive batter with a wide range of strokes in his repertoire. He has spent long periods at the top of the ICC's allrounder rankings across formats, a validation of his stature in the game.",,,
Shakib Al Hasan(c),Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Easily the finest player Bangladesh have produced, Shakib Al Hasan is a canny, consistent and accurate bowler and an aggressive batter with a wide range of strokes in his repertoire. He has spent long periods at the top of the ICC's allrounder rankings across formats, a validation of his stature in the game.",,,
Mohammad Nabi(c),Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage.",,,
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage.",,,
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter,"An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010",,,
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"Allrounder, and Twitter star, Jimmy Neesham went from the brink of retirement from cricket to almost delivering New Zealand the 2019 World Cup. In the tournament he was outstanding with bat and ball then in the final against England claimed three wickets and produced the final-ball run out to tie the scores after 50 overs. He was entrusted with the bat in the Super Over and scored 13 off 5 balls including a huge six off Jofra Archer. He was at the non-striker's end for the last ball when Martin Guptill was run out coming back for a second run that would have won New Zealand the World Cup. ",,,
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder,,,,
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,,,,
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter,"Dawid Malan made a striking entry into international cricket in a T20I in Cardiff in 2017, demolishing South Africa's attack with 78 from 44 balls. He deposited the second ball, from Chris Morris, over midwicket for six and never looked back.",,,
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. ",,,
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,,,,
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. ",,,
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. ",,,
Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter,,,,
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,,,,
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"Offspinner Mujeeb ur Rahman has followed in the footsteps of his superstar compatriot Rashid Khan, mixing up offbreaks with legspin and ripping googlies and making a splash in T20 leagues around the world.",,,
Devon Conway†,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"Eight years into his professional career, Devon Conway scored his maiden first-class double hundred for Gauteng in a three-day match in South Africa in 2017. Four years later he'd score another double, but this time for New Zealand on his Test debut, becoming only the second - but also the oldest - player to do so in the side, where he quickly established himself as an attacking but composed top-order batter with the ability to shift gears quickly to adapt to match situations. ",,,
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,"A solid and technically sound left-hand opener, Shan Masood made it to the international side after impressing consistently at junior-level cricket. With Pakistan struggling to put together a solid opening combination, Masood was the option they turned to in the Test series against South Africa in the UAE.",,,
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"A stylish middle-order batter who also props up Sri Lanka's mediocre batting line-up with fighting knocks, de Silva is a treat to watch. ",,,
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,"Ebadat Hossain Chowdhury's journey from being a volleyball player for Bangladesh Air Force to becoming a Test cricketer in February 2019 was a short, and interesting, one. Living in their barracks, Ebadat dreamt of bowling like Brett Lee one day. His dream came true when he took part in the 2016 Robi Pacer Hunt in Faridpur, crisscrossing 342km southwest from his hometown Sylhet. He was one of the top three bowlers, and was duly picked by the scouts to a training camp in Dhaka.",,,
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother.",,,
Rohit Sharma(c),India,Right hand Bat,Right arm Offbreak,Top order Batter,,,,
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,"An aggressive batsman who was born in Wollongong, in New South Wales - the
same coastal city which produced Brett Lee - Tom Cooper now plays his club
cricket for University in Adelaide. An Australian Under-19 representative - he made 104 against South Africa in the 2005-06 Youth World Cup - Cooper broke into the senior South Australian side in November 2008.",,,
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18.",,,
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter,"Top-order batter Ibrahim Zadran is among Afghanistan's most consistent performers, and young enough to have made his Test debut (in the team's third ever match) before he played a white-ball international. He made 87 in that match in Chattogram, a big, historic win over Bangladesh. ",,,
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A tidy left-arm spinner and hard-hitting batter, Roelof van der Merwe is one of a small set of cricketers to have represented two international teams.",,,
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions.",,,
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,,,,
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,"Calum MacLeod won a place in Scottish sport folklore when he struck a century that helped Scotland beat the world's No. 1 ODI side at the time, England, in a game in Edinburgh in 2018. That year, he also produced an unbeaten 157 against Afghanistan in a World Cup Qualifier match in Bulawayo, where he expertly dealt with legspinner Rashid Khan, liberally employing a sweep shot that he put down to his time spent playing hockey. Those knocks made him a slam-dunk choice at the end of 2018 to claim the ICC Associate Player of the Year Award, making him the second Scotland player to do so following Preston Mommsen in 2014. ",,,
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,,,,
Basil Hameed,U.A.E.,Right hand Bat,Right arm Offbreak,Middle order Batter,,,,
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage.",,,
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,,,,
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,"Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. ",,,
KL Rahul,India,Right hand Bat,,Wicketkeeper Batter,,,,
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,,,,
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,"Even before he was anywhere near making his international debut, Taskin Ahmed became an internet sensation. A video of his spell against England Under-19s in 2012 found its way to Youtube, and the sight of a Bangladeshi fast bowler ripping it past batsman and hitting the wicketkeeper's gloves quite hard and high made people curious.",,,
Jos Buttler(c)†,England,Right hand Bat,,Wicketkeeper Batter,,,,
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,,,,
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Top order Batter,"In a career of twists and turns, Steven Smith started out as a legspinner and become Australia's best batter since Sir Donald Bradman, either side of having his career derailed by a ball-tampering scandal that saw him stripped of the captaincy and banned for 12 months.",,,
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler,"At 6ft three inches, Shoriful Islam became a left-arm pace sensation almost overnight, when he starred in Bangladesh's 2020 Under-19 World Cup triumph. He took nine wickets, but it was his aggression and pace in the knockout games against South Africa, New Zealand and (in the final against) India that stood out.",,,
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,"In the winter of 2022-23, Harry Brook announced himself as one of the world's most exciting young players with a staggering run of form across formats, most particularly in England's rebooted Test team. After making his debut against South Africa in September 2022, Brook travelled to Pakistan and New Zealand with Ben Stokes' team, where he peeled off consecutive scores of 153, 87, 9, 111, 89, 54, and 186 to take his overall tally to 809 runs in nine innings, at an extraordinary strike-rate of 98.77. No player in Test history had started with a bigger bang - Vinod Kambli had 796 runs after his own ninth innings - and not even Brook's anticlimactic tenth innings (run out without facing in England's thrilling one-run defeat at Wellington) could take the gloss off his achievement. ",,,
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Bowling Allrounder,,,,
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,"One of the fastest scorers in world cricket, Glenn Maxwell has lit up the limited-overs formats. His ability to make unconventional shots - reverse sweeps and pulls, for example - appear routine makes it hard to set fields to cover all of his scoring areas. Maxwell's audacity comes with risk, and he can exasperate as well as exhilarate, but at his best he can change a game in moments. Also a handy offspinner and outstanding fielder, Maxwell offers an impressive package in one-day and T20 cricket when things click. ",,,
Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,,,,
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,,,,
Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,"Two days after his 22nd birthday, opening batter Chirag Suri was bought in the 2017 IPL auction by Gujarat Lions. It was quite the birthday present, considering he had not even been capped in internationals for UAE. Suri never suited up for Lions, but he has demonstrated his talents in the time since his UAE international debut, also in 2017, rocketing up the career batting charts to figure among the top five run-makers in both ODIs and T20Is for his country. ",,,
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler,"Adam Zampa has developed into Australia's leading white-ball spinner, and only behind Shane Warne to have done the role in the limited-overs formats. ",,,
Michael van Lingen,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,,,,
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler,"Mohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new. ",,,
Regis Chakabva†,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A doughty wicketkeeper-batter, Regis Chakabva came up in Zimbabwe cricket through Highfields, Churchill, on to Takashinga, provincial cricket, and eventually, regular appearances in the national teams. ",,,
Brandon King,West Indies,Right hand Bat,,Top order Batter,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side.",,,
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter,,,,
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,,,,
Vriitya Aravind†,U.A.E.,Right hand Bat,,Wicketkeeper Batter,,,,
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,,,,
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,"A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity.",,,
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. ",,,
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Legbreak,Allrounder,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career.",,,
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"In 2023, making what seemed to be his nth comeback to the Pakistan ODI side, offspinner allrounder Iftikhar Ahmed burst into flower with an unbeaten 94 from No. 6 against New Zealand in the fifth ODI (after Pakistan had sealed the series) - though the target of 300 proved a bridge too far for him and his side. ",,,
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"Timm van der Gugten, born in Sydney, made his first-class debut for New South Wales in November 2011. He was called up to the Netherlands the following year for World Twenty20 in the West Indies and made his debut at 21. He also represented the Netherlands at two subsequent World Twenty20s where he has carried one of their most potent threats. ",,,
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction. ",,,
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,"Bangladesh left-hander Afif Hossain made his T20I debut in 2017 and impressed right away in his second game with a 26-ball 52 at No. 8 in a narrow win over Zimbabwe. He took a while to get going after that, although his T20I captain Mahmudullah praised his maturity during a tricky innings on a turning Mirpur pitch. In February 2022 in Chattogram, 22-year-old Afif rescued Bangladesh from 45 for 6 in a record stand with Mehidy Hasan Miraz against Afghanistan - they added an unbeaten 174, the second-highest partnership for the seventh wicket or lower in ODIs. Afif is also the youngest T20 debutant to take a five-for - he was 17 years and 72 days when he picked up 5 for 21, including the wicket of Chris Gayle, for Rajshahi Kings against Chittagong Vikings in December 2016.",,,
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill",,,
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,,,,
